"ret","pred","rwb_left","rwb_right","rwb_two","ew_left","ew_right","ew_two","b_ols","b_ivx","rho","delta","B"
"vw","dp",0.727863931965983,0.272136068034017,0.343671835917959,0.886485102582085,0.113514897417915,0.22702979483583,0.00430977990208631,0.00548666651465729,1.00019184547215,-0.976427408934439,1999
"vw","dy",0.893946973486743,0.106053026513257,0.197098549274637,0.929955103663113,0.0700448963368872,0.140089792673774,0.00539233066741736,0.00693711713750119,1.00018568739194,-0.0736973528460123,1999
"vw","ep",0.922461230615308,0.0775387693846923,0.125062531265633,0.9713053939235,0.0286946060765004,0.0573892121530009,0.00717361815948915,0.0080808671868126,1.00016535339207,-0.764770831884273,1999
"vw","de",0.260130065032516,0.739869934967484,0.523261630815408,0.333069930803191,0.666930069196809,0.666139861606382,-0.00302606963395924,-0.00336509965730744,0.998110925899373,-0.0691110977958124,1999
"vw","svar",0.396698349174587,0.603301650825413,0.775887943971986,0.404437595370892,0.595562404629108,0.808875190741783,-0.128068881031942,-0.156858878602055,0.656573473163073,-0.291673648457956,1999
"vw","bm",0.830415207603802,0.169584792396198,0.216608304152076,0.83537797699613,0.16462202300387,0.329244046007741,0.0123034966660192,0.0115140902229053,0.997343866118077,-0.829236170589271,1999
"vw","ntis",0.0675337668834417,0.932466233116558,0.142571285642821,0.101105389039739,0.898894610960261,0.202210778079479,-0.13938773285535,-0.149499742441038,0.985723801727652,-0.0398395471869307,1999
"vw","tbl",0.0465232616308154,0.953476738369185,0.108054027013507,0.0422098020469542,0.957790197953046,0.0844196040939085,-0.0904172893588311,-0.0902949735758137,0.99663081365328,-0.0566103443193361,1999
"vw","lty",0.0380190095047524,0.961980990495248,0.0985492746373187,0.0417367571316241,0.958263242868376,0.0834735142632483,-0.0778368891863954,-0.0877585048616933,0.998962100450518,-0.0883798063379763,1999
"vw","ltr",0.921960980490245,0.0780390195097549,0.150575287643822,0.924660679910493,0.0753393200895069,0.150678640179014,0.099222191341233,0.098233616610043,0.0789468942449167,0.0555999167058501,1999
"vw","tms",0.820910455227614,0.179089544772386,0.345172586293147,0.776006343573592,0.223993656426408,0.447987312852816,0.142270721489632,0.118045274804248,0.98580540426171,0.000232510405874791,1999
"vw","dfy",0.48024012006003,0.51975987993997,0.884442221110555,0.539309214840785,0.460690785159215,0.921381570318431,0.103382934731434,0.0606085287322345,0.993092700744814,-0.270560354077835,1999
"vw","dfr",0.795897948974487,0.204102051025513,0.416708354177089,0.802819822160266,0.197180177839734,0.394360355679468,0.163558196643837,0.162360945794513,-0.101487007309713,0.185724939621912,1999
"vw","infl",0.11655827913957,0.88344172086043,0.244122061030515,0.130078837990007,0.869921162009993,0.260157675980015,-0.404380705240241,-0.425107286894471,0.570537165165622,0.0323133358111712,1999
"vwx","dp",0.523261630815408,0.476738369184592,0.640820410205102,0.732176218104241,0.267823781895759,0.535647563791519,0.00167448714025451,0.00283176595284371,1.00019184547215,-0.978000331352863,1999
"vwx","dy",0.770385192596298,0.229614807403702,0.43671835917959,0.817158585499602,0.182841414500398,0.365682829000797,0.00275672249711881,0.00428224595184375,1.00018568739194,-0.0761121841469911,1999
"vwx","ep",0.827913956978489,0.172086043021511,0.268634317158579,0.916714439065028,0.0832855609349716,0.166571121869943,0.00472207912965776,0.0058497094610041,1.00016535339207,-0.765261364615738,1999
"vwx","de",0.19959979989995,0.80040020010005,0.415207603801901,0.289841630561943,0.710158369438057,0.579683261123886,-0.00437009768399167,-0.00436156137331945,0.998110925899373,-0.071088514762156,1999
"vwx","svar",0.377188594297149,0.622811405702851,0.739369684842421,0.384607408222225,0.615392591777775,0.76921481644445,-0.161042615244412,-0.192089015412987,0.656573473163073,-0.291403311738014,1999
"vwx","bm",0.680340170085043,0.319659829914958,0.425212606303152,0.735645873270609,0.264354126729391,0.528708253458781,0.00843725586205292,0.00752045155167869,0.997343866118077,-0.830118898735988,1999
"vwx","ntis",0.0700350175087544,0.929964982491246,0.146573286643322,0.104170833444617,0.895829166555383,0.208341666889234,-0.150190520016147,-0.148151078631962,0.985723801727652,-0.0386280778110163,1999
"vwx","tbl",0.0380190095047524,0.961980990495248,0.0910455227613807,0.034096334971593,0.965903665028407,0.0681926699431858,-0.090652395263591,-0.0956890563733187,0.99663081365328,-0.0561835775842739,1999
"vwx","lty",0.0275137568784392,0.972486243121561,0.0785392696348174,0.0305006313201958,0.969499368679804,0.0610012626403915,-0.0753727630653654,-0.0950663772756456,0.998962100450518,-0.0877640696886569,1999
"vwx","ltr",0.927463731865933,0.072536268134067,0.142071035517759,0.927630664504087,0.0723693354959134,0.144738670991827,0.100510804290046,0.0998812000034036,0.0789468942449167,0.0560093301527943,1999
"vwx","tms",0.818909454727364,0.181090545272636,0.352676338169085,0.771275876929853,0.228724123070147,0.457448246140294,0.155001247656466,0.115977531767283,0.98580540426171,0.000587906341284372,1999
"vwx","dfy",0.428214107053527,0.571785892946473,0.978989494747374,0.507445892214936,0.492554107785064,0.985108215570127,0.0463785467334889,0.0115595028900381,0.993092700744814,-0.272709159950154,1999
"vwx","dfr",0.792896448224112,0.207103551775888,0.423211605802901,0.800794348486216,0.199205651513784,0.398411303027568,0.165506555669987,0.162268037074789,-0.101487007309713,0.185740101150954,1999
"vwx","infl",0.107553776888444,0.892446223111556,0.224612306153077,0.121080821908227,0.878919178091773,0.242161643816455,-0.398361821476,-0.444684114900163,0.570537165165622,0.0340683843979006,1999
